Author,Title,Content
Sarah Whitten,"With booze, furniture and candles, Dungeons & Dragons makes itself at home","In this article
It’s not every day that a spilled beer can start a company. But that’s exactly how Christoff Visscher got the idea for Cantrip Candles.
An avid Dungeons & Dragons fan, Visscher was hosting a game when a beer got knocked over during a rowdy tavern interaction. The malty scent added to the ambiance of the scene and inspired him to start making his own candles and fragrances to elevate his friend’s tabletop gaming experience.
Some seven years later, Visscher’s Cantrip Candles has a physical storefront in Hollywood and nearly two dozen custom scents — from the airy, pine-scented Walk in the Woods to the rich, smoky whiskey and firewood aroma of Black Hound Tavern.
Inspired by fantasy games and settings like those seen in Dungeons & Dragons, Pathfinder and other popular tabletop role-playing games, Cantrip Candles has created its own lore to pair with its scents. They include Library Scriptorium (parchment, aged wood, leather), Den of Thieves (smoke, red wine, aged leather) and Forest of Fae (jasmine, neroli, tomato leaf and amber), all locations that could be found in any fantasy world.
“We always make it our own,” said Visscher. “And that’s how we can be an authentic to ourselves. Sometimes, we create environments that aren’t the most traditional fantasy environments. We have a scent called Goldwheat Bakery.” It smells like yeast, bread and flour.
Products from the company range from $15 for wax melts all the way up to $99 for 20-ounce centerpiece candles. Cantrip Candles also partners with other small businesses to sell wick trimmers, matches, notebooks, plush and apparel.
Sellers need to be on their game with these customers, too.
“They expect you to respect, understand and anticipate their needs, even though the problems you’re solving can be extremely niche,” said Ed Maranville, co-founder of Wyrmwood, a tabletop gaming accessory and furniture company.
The customer base is growing, and it’s hungry for elevated, luxury merchandise that celebrates and enhances their fandom. It’s more than just T-shirts and special dice. There is a desire to live the fantasy, or at least incorporate it into day-to-day life. Crafters and hobbyists have turned into entrepreneurs creating unique and bespoke merchandise like wooden lamps shaped like 20-sided dice (commonly called d20s), custom wall art and just about any item you can find in a kitchen: cutting boards, glasses, spoons, you name it.
It’s part of a wider trend among many different entertainment franchises, from Marvel and Star Wars to Harry Potter and “Friends,” as well as for fans of regency era romance novels, the horror genre and Broadway musicals.
Dungeons & Dragons was created by Gary Gygax and Dave Arneson in the early 1970s. It is a structured but open-ended role-playing game often played around a table. Players solve puzzles, go on quests and battle enemies. In recent years, due in large part to Covid social-distancing protocols, many games are played virtually using video-conferencing tools.
Hasbro
, which owns the Dungeons & Dragons brand through its subsidiary Wizards of the Coast, has boasted that the game has more than 50 million active players. These consumers have consistently boosted sales for Wizards, pushing the division’s revenue to over $1 billion in each of the last two years.
Hasbro acquired Wizards of the Coast, the company that owned the rights to Dungeons & Dragons, in 1999. The Rhode Island-based toymaker is protective of its intellectual property. It recently tried to revamp its game license to crack down on third-party content creators and boost revenue. However, those plans were shot down in January, as the D&D community balked at the new terms, which were largely viewed as overreaching and unfair.
The company did not respond to CNBC’s request for comment.
The shopper cohort that stocks up on fantasy-themed lifestyle merch is often grouped as “kidults.” Essentially, this customer is 12 or older and spends money on collectibles, toys or merchandise. Last year, these kids-at-heart were responsible for one-quarter of all toy sales annually, around $9 billion worth, and were the biggest driver of growth throughout the industry, according to data from the NPD Group.
Kidults buy other products linked to their interests, like furniture, art and even alcohol. And there are plenty of companies offering up unique, quality products for fantasy tabletop gamers.
“In this community, in most fandoms, if you build something that’s premium, a luxury feeling item, people respond,” said Matthew Lillard, co-founder of Find Familiar Spirits. “The industry sort of discounts their buying power. They’re like, ‘Oh, they just want dice,’ but the reality is that I want something that speaks to me as a modern human. I want to be able to live it on my own.”
Lillard, who rose to fame in the ’90s and early ’00s for roles in films like “Scream” and “Scooby-Doo,” is an avid Dungeons & Dragons player and fan of the fantasy role-playing genre. This week his new company, Find Familiar Spirits, which he founded alongside screenwriter Justin Ware, is launching its first in a series of limited edition whiskeys.
Distilled in Indiana and Kentucky, the first whiskey edition, which has an initial run of 5,000 bottles, is called Paladin, named for the playable class in classic tabletop role-playing games like Dungeons & Dragons. It’s a bourbon whiskey blend with notes of vanilla, fruit and a little spice and will retail for $150.
Three other whiskeys — Rogue, Warlock and Dragon — will roll out at later dates under the banner Quest’s End Whiskey. Early interest in the product has led the company to expand the number of bottles produced going forward.
In total there will be 16 whiskeys, released every three to four months over the course of four years. Each bottle is paired with a booklet that contains a chapter of a new and original fantasy saga called “Dawn of the Unbound Gods.” With every release, a new chapter will be unveiled.
Similarly to Cantrip Candles, Found Familiar Spirits is creating its own lore.
“Our whole thing is that we’re creating an immersive unboxing experience that goes along with the whiskey,” Lillard said. “It does no good to create a beautiful bottle and a s--- whiskey.”
Lillard is no stranger to selling products to this community. In 2018, he co-founded Beadle & Grimm’s, a gaming company that offers licensed expanded editions of Dungeons & Dragons modules, Magic: The Gathering sets and other games in the tabletop role-playing game space.
The company started by selling premium $500 boxes filled with high-end miniatures, maps and props tied to specific Dungeons & Dragons campaigns.
“Our belief is that if you create a high-end premium experience for a whiskey connoisseur, that also loves Dungeons & Dragons, people will turn out to buy and support that,” Lillard said.
Other companies have found similar interest from consumers, particularly those looking to meld their fandom with their dining rooms.
That’s where Wyrmwood Gaming comes in, offering products that serve multiple needs for consumers. In this case, a place to play weekly tabletop role-playing games and have dinner every night.
“Gaming tables serve a need that most consumers have, which is to save space and give them flexibility in their life,” Wyrmwood’s Maranville said. “While some are fortunate enough to have a dedicated space for gaming, for most of us, space is at a premium, and your space for playing games is in either your living room, kitchen or dining area.”
Wyrmwood is known for its high quality wooden accessories and gaming tables, which feature modular pieces that can transform furniture from a dining space to a fantasy landscape. The company first launched on independent online marketplace Etsy
in 2012, offering products that could bring gamers “out of the basement.” The company now has its own website.
“As lifelong gamers, there weren’t a lot of options for finely made accessories,” Maranville said. “Gaming could often still feel like a childish hobby, despite the enormous passion and seriousness that many gamers bring to it, along with their grown-up tastes and budgets.”
Prices range from $600 to more than $10,000 based on table size, shape, wood and other customizations. The company also sells accessories with magnetic components including cup holders, card and poker chip holders, dice trays and bottle openers. Wyrmwood recently extended its line to include a customizable modular desk.
Maranville said he knew the company would thrive nearly a decade ago when Wyrmwood first attended the PAX East convention in 2014. He said patrons gravitated toward the brand because it took their passion seriously and provided merchandise for everyday use.
“We sold out of everything, I completely lost my voice, and our little booth was inundated with attendees all weekend long,” he said."
Mike Calia,‘The Exorcist: Believer’ and Hispanic audiences: A match made in horror movie heaven,"In this article
Take it on faith. The new “Exorcist” movie will draw big Hispanic audiences.
Universal is seeing stronger-than-average Hispanic interest for “The Exorcist: Believer” as the movie heads into its opening weekend, according to people familiar with the matter. This fits a pattern among recent religious-horror releases such as “The Nun II” and “The Pope’s Exorcist.”
Lea este artículo en español aquí.
“They like the emotions. They like the scary aspect of it. It’s something that’s unique in our culture,” Rolando Rodriguez, the Cuban-born chairman of the National Association of Theatre Owners, said of Hispanic and Latino crowds. “We expect big things out of ‘The Exorcist.’”
“The Exorcist: Believer,” a sequel to the classic 1973 original, tells the story of two girls who disappear for three days in present-day Georgia and end up possessed by a demon, or demons, traumatizing their families and resuming an old battle that is rooted in the first movie. It stars Leslie Odom Jr. of “Hamilton” fame.
The new film is slated to open in more than 3,600 theaters Friday, including Imax
and other premium formats. It’s expected to pull in up to $30 million in its first weekend. While that should be enough to send it to No. 1 at the domestic box office for the weekend, it remains to be seen whether the film and the next two entries in a planned trilogy will pay off for NBCUniversal. The company’s movie studio and streaming service, Peacock, shelled out $400 million for the movies.
“The Exorcist: Believer” also faces a formidable foe in its second weekend: Taylor Swift, who’s releasing the concert film version of her megahit Eras Tour. “Believer” is also entering a crowded horror movie marketplace. Hollywood and indie studios are releasing scary flicks just about every week as Halloween approaches.
“The horror genre is as popular and plentiful as ever, with a consistent demand from audiences driving studios to keep the pipeline flowing with scary movies big and small, with both major and independent studios supplying the seemingly insatiable demand from an adoring fanbase of thrill-seeking moviegoers,” said Paul Dergarabedian, senior media analyst at Comscore.
Hispanic and Latino viewers will have a big say in how “The Exorcist: Believer” does at the box office, no matter what. They tend to represent 26% of horror movie audiences, compared with 20% for other genres, according to the Comscore/Screen Engine PostTrak Audience Survey.
“Horror films are a communal experience for Latinos, especially in big cities with multiple cinemas located within blocks of one another,” said R.C. Jara, a film writer who has been published on sites such as Hear Us Scream and Dread Central.
Hispanic audiences’ taste for horror goes back a long way in Hollywood.
In 1931, Universal released a Spanish-language version of the Bela Lugosi film “Dracula,” made with a different cast and crew, that has become a cult classic in its own right. The Oscar-winning career of Mexican director Guillermo del Toro (“Pan’s Labyrinth”) is full of macabre and fantastical tales. Hispanic viewers made up a whopping 44% of the audience during the opening weekend for the new “Saw X.”
Beyond the movies, creepy folk tales about bogeyman El Cucuy and weeping ghost La Llorona go back even further.
“We are a unique blend of ‘the old ways’ and modern Christianity, with a large portion of our members practicing Catholicism specifically,” Angel Melanson, an editor at horror publication Fangoria, told CNBC in an email. “These horror stories aren’t saved for once we come of age and ‘can handle’ them. Instead, they’re freely shared right from the start.”
Religion is at the core of much of the fervor for spooky stuff among the rapidly growing Hispanic population in the United States. As of last year, Catholics accounted for the biggest religious bloc among Latinos, according to Pew Research Center.
The original film “The Exorcist” and its source novel — both written by the late William Peter Blatty, a devout Catholic — are set within the dogma and rituals of Roman Catholicism. They tell the story of a preteen girl (played by Linda Blair in the movie) whose possession by a demon leaves her mother (Ellen Burstyn, who returns in the new film) with no choice but to petition priests (Jason Miller and Max von Sydow) to perform an exorcism.
Some of the story’s most shocking moments come when the demon says blasphemous things and performs profane acts, particularly during a notorious scene involving a crucifix.
“Religious horror is flirting with danger. Something maybe your abuela would yell at you for watching, but doesn’t that make it all the more appealing? Forbidden fruit. A horror story based on things we grow up learning are true and possible,” Melanson said.
Religious horror films resonate deeply with Latino moviegoers in large part because of the emphasis on rituals, experts say.
“Even for modern Latinos who don’t practice Brujeria or cleansings, Catholicism is rife with ritual. So there’s this concept of being able to defeat the demon with ritual, a how-to-survive guidebook of sorts,” Melanson said.
But it’s not unusual to hear atheistic or agnostic horror fans say “The Exorcist” made them believe, if only for two hours. The original movie, released the day after Christmas in 1973, was the kind of must-see event that resulted in lines of moviegoers of all faiths wrapping around blocks to wait for a screening. Hollywood hadn’t released anything like it before, not even Alfred Hitchcock’s classic slasher “Psycho” or the similarly satanic “Rosemary’s Baby,” in terms of shock value.
“The Exorcist” grossed more than $193 million, according to Comscore data. That would still be a big haul for a movie released these days, especially one as explicitly graphic as “The Exorcist.” At its heart, though, the movie is a tense, confrontational theological drama.
“I believe very strongly in God and the power of the human soul,” the late William Friedkin, who directed “The Exorcist,” once said in an interview. “I also believe that they are unknowable. But the film, ‘The Exorcist,’ is primarily about the mystery of faith, the mystery of goodness, that mystery which is inexplicable, but it’s there.”
The new movie’s director, David Gordon Green, is looking to tap into similar ground.
“Whatever faith you subscribe to, there’s always that curiosity, always that interest in the unknown,” Green, who also co-wrote “The Exorcist: Believer” and is set to helm its sequels, told CNBC.
Indeed, Green, who grew up Presbyterian and helps steer HBO’s evangelical comedy “The Righteous Gemstones,” took a small-c catholic approach to the story of the new “Exorcist.” The film opens up the religious sandbox beyond Jesuit priests, also embracing voodoo and evangelical rituals. Catholics don’t have a monopoly on the subject, after all. Possession, Green said, comprises a “huge world” of myths and ideas, from various cultures.
“We may have doubt, we may have certainty, but until we experience something, we don’t really know. There’s something beautiful about that,” he said.
The franchise’s branching out from its Catholic roots mirrors what’s happening among Latinos in the U.S. According to Pew, while Catholicism remains the largest faith among the group, the share of the population who identify as Catholic has fallen dramatically in recent years. Meanwhile, the number of Latinos who aren’t affiliated with any religion is surging. In fact, those ages 18 to 29 are more likely to be unaffiliated than Catholic, according to the study.
“Speaking on behalf of my profoundly Catholic family members, films about serial killers, monsters and especially demonic possession are a means of facing evil vicariously through fiction,” said Jara, reflecting on the genre. “But those of us, like myself, who are agnostic towards the existence of a higher power have found a primary home in horror.”
Still, even as beliefs shift, it’s not “The Exorcist” without religion. The next entry in the planned trilogy is scheduled for release on April 18, 2025 — Good Friday.
Disclosure: NBCUniversal is the parent company of CNBC and Universal Pictures, the distributor of “The Exorcist: Believer.”"
Amelia Lucas,"Popeyes overtakes KFC as No. 2 chicken chain, but Chick-fil-A stays on top","In this article
Popeyes has overtaken KFC as the No. 2 chicken chain in the U.S., a decade after Chick-fil-A first unseated KFC from the top spot.
Chicken chains’ battle for stomachs — and dollars — has become more aggressive in recent years. Chick-fil-A moved from a regional player to a nationwide chain that trails only McDonald’s
and Starbucks
in annual sales. Restaurant Brands International
’s Popeyes launched a chicken sandwich in 2019 that turned into a blockbuster menu item and ushered in the chicken sandwich wars. Burger chains such as McDonald’s and Wendy’s
jumped onto the trend and added their own offerings, leading to poultry shortages.
In the fray, Yum Brands
’ KFC has lost ground. In the past year, its U.S. market share fell to 11.3% from 16.1%, according to Barclays research.
Similar to KFC, Popeyes lost market share in the past year, but still retained enough to leapfrog its rival. The chain saw its U.S. market share shrink to 11.9% from 15%, according to Barclays.
Blame Chick-fil-A, which saw its market share expand to 45.5% from 38.3%. The privately held Atlanta-based chain is more dominant than ever. Chick-fil-A is still closed on Sundays, but industry experts credit its customer service, short menu and efficient drive-thru lanes for its success.
KFC’s domestic business has struggled to keep up with the competition. It took more than a year for KFC to respond to Popeyes’ chicken sandwich. The chain also lost longtime U.S. leader Kevin Hochman last year to Brinker International, where he now serves as CEO.
KFC did not respond to CNBC’s request for comment.
Popeyes, on the other hand, has used the popularity of its chicken sandwich to introduce customers to other menu items and to fuel new restaurant openings. More recently, the chain’s Sweet ’N Spicy Wings became its most popular launch since the chicken sandwich.
“Game on, Chick-fil-A,” Restaurant Brands International Chair Patrick Doyle said in mid-September at Scotiabank’s Back to School Conference, responding to a question about the chain’s new spot as the No. 2 chicken chain.
Popeyes President Sami Siddiqui said in a statement to CNBC that the chain is still in the early innings as it tries to become the most loved and visited U.S. chicken chain.
“We view this special milestone as an indicator that we’re headed in the right direction with much more growth to come,” he said."
Drew Richardson,Clorox says sales and profit took a big hit from cyberattack,"In this article
Clorox
on Wednesday warned that its sales and profit took a big hit during the quarter ending Sept. 30, largely due to the after effects of a cyberattack that significantly affected operations.
The bleach and cleaning products maker said it expects net sales to decrease 23% to 28%. Clorox also estimates its gross margin for the quarter will be down from the year-ago period. It expects to post a per share loss of 35 cents to 75 cents. On an adjusted basis, it projects a loss of up to 40 cents a share.
Clorox also said the cyberattack, which it disclosed in August, continues to hurt production, although the effect is lessening. “The Company also expects to begin to benefit from the restocking of retailer inventories as it ramps up fulfillment” during the current quarter, it said in a release.
Clorox said it is still assessing what effect the hack could have on the current fiscal year and beyond.
The effects of the attack were widescale, the company disclosed in a September securities filing. While operational systems were repaired, Clorox resorted to going manual on many of its procedures, slowing down product fulfillment. Nonetheless, the company has said the threat is contained.
Scattered Spider, a group of hackers tied to recent cyberattacks on casino companies MGM and Caesars, is suspected of being tied to the August attack on Clorox, Bloomberg reported Wednesday. MGM also warned in September that the attack could have a material effect on company finances."
Stefan Sykes,"Tilray Brands’ revenue jumps, losses narrow as it pivots away from cannabis","In this article
Cannabis producer Tilray Brands
 on Wednesday reported a jump in revenue as it diversifies its portfolio and moves deeper into the beer industry.
The company reported $177 million in net revenue, up 15% year over year, for its fiscal first quarter. Its cannabis division brought in $70 million in net revenue, reflecting a 20% spike year over year.
It also narrowed its net loss to $55.9 million during the quarter, compared to a loss of $65.8 million a year earlier.
Tilray is a multinational cannabis company based in Canada, but it has increasingly moved into other segments, particularly the U.S. craft beer industry, as it navigates an uncertain legal environment for marijuana around the world.
The company said it grew cannabis revenue in Canada by 16.5% and strengthened its leading market share position in the country to 13.4%. Canada is one of the few major markets where recreational cannabis is legal at the federal level.
On an earnings call Wednesday, CEO Irwin Simon said the company’s recent beverage mergers and acquisitions will accelerate growth and expand the company’s footprint beyond its recreational cannabis business as the drug remains illegal in key markets in the world, including at the federal level in the U.S. and in much of Europe.
“We’re waiting for legalization to happen in the U.S.,” Simon said separately during an appearance on CNBC’s “Squawk on the Street” on Wednesday. “If it happens, it will be great and we’re well-positioned.”
If legalization in the U.S. doesn’t happen, Simon said the company will fall back on its booming beverage business.
In recent years, the company has been on a buying spree, making deals in what it said are fast-growing markets, such as craft beers and cannabis-infused beverages.
Earlier this week, Tilray completed its acquisition of eight beer brands from Anheuser-Busch InBev
that it had announced over the summer. The company said the deal makes it the fifth largest in the U.S. craft beer market.
Around the same time, the company acquired the remaining 57.5% equity ownership of cannabis-infused drinks maker Truss Beverage from Molson Coors Canada.
The transaction prices of both deals were not disclosed.
Tilray’s beverage alcohol revenue jumped 17% to $24 million in its first quarter, from $21 million in the prior-year period. It cited in part growth in its Montauk Brewing Company subsidiary. Tilray acquired Montauk, a fast-growing brewer in metro New York, in 2022.
“We have strategically diversified our company globally over the past several years and, as a result, Tilray is now ideally positioned to capture a wide range of opportunities across multiple industries,” said Simon in the earnings release."
Sarah Whitten,Disney discounting child tickets at U.S. parks as industry attendance lags,"In this article
It’s about to be cheaper for families to visit Disney’s
domestic theme parks.
The Walt Disney Company on Wednesday announced new, limited time discounts on children’s tickets at Disneyland and Disney World.
Starting Oct. 24, parents can purchase children’s ticket (valid for kids aged three to nine) for the California-based Disneyland resort for as low as $50 each. Tickets can be used between Jan. 8 and March 10 of next year.
As for the Walt Disney World in Orlando, Florida, children’s tickets and dining plans will be half-off for guests who purchase a four-day, four-night vacation package at one of its resorts. The deal starts Nov. 14 and can be used from March 3 through June 30, 2024.
The price cuts come as the company’s U.S.-based parks have seen a slowdown in attendance and hotel room occupancy as consumers face higher costs due to inflation. Disney is not the only company facing these issues. Universal’s
domestic parks, as well as region players like Six Flags
and Sea World
, have reported lower attendance this year.
Travel agents have pointed to higher ticket prices and a rise in trips to Europe as the major factors in declining domestic theme park attendance.
This is not the first time Disney has offered limited time deals or altered pricing. Earlier this year, the company updated policies at both domestic parks, including modifications to its reservation and ticketing systems for annual pass memberships. The changes came as guests complained about rising prices and longer wait times.
Parks, experiences and products, the division that runs Disney’s parks, has remained a bright spot for the company in recent quarters. Disney has faced ad-related revenue losses within its traditional media business and has had difficulty monetizing its streaming business, as production costs and licensing fees soar.
Meanwhile, the parks division saw a 13% increase in revenue during the third quarter, reaching $8.3 billion.
The company has touted that this segment has expanded at a combined annual growth rate of 6% since 2017, and generated $32.3 billion in operating income over the last 12 months.
Disney is leaning further into the successful business. The company is expected to nearly double its investment in its parks division, with plans to spend around $60 billion over the next 10 years.
Projects already in motion include redesigning Splash Mountain at both domestic resorts with a “Princess and the Frog” theme, as well as updates to existing hotel and resort locations. Disney also plans to nearly double the capacity of its cruise line, adding two ships in fiscal 2025 and another in 2026.
The company provided “blue sky” ideas for its parks during its D23 Expo last year in Anaheim, California. These projects are still in early development and may not see the light of day. This included the possibility of revamping Dino Land at Animal Kingdom in Orlando to be themed as a “Zootopia” or “Moana” area.
At Magic Kingdom, Disney is asking the question: “What is behind Big Thunder Mountain?” The company teased that an area based on “Coco” or “Encanto,” or both, could be in that location. There were also talks about the possibility of bringing to life an area of the Magic Kingdom overrun by Disney villains.
Price points will vary for these projects, if they do come to fruition. The recent additions of the two Star Wars: Galaxy Edge lands in Disneyland and Disney World are estimated to have cost $1 billion each.
Disclosure: Comcast is the parent company of NBCUniversal and CNBC."
Michael Wayland,GM secures new $6 billion credit line as UAW strike costs reach $200 million,"In this article
DETROIT – General Motors
secured a new $6 billion line of credit as the automaker braces for additional strikes by the United Auto Workers union.
“The facility that we announced today is a $6 billion line of credit that I think is prudent in light of some of the messages that we’ve seen from some of the UAW leadership that they intend to drag this on for months,” CFO Paul Jacobson told CNBC’s Phil LeBeau in an interview on “Halftime Report.”
The targeted strikes already cost the automaker $200 million during the third quarter, GM said Wednesday.
A GM spokesman said the $200 million strike cost is due to lost production on wholesale volume, largely due to the UAW’s initial Sept. 15 strike at GM’s midsize truck and full-size van plant in Wentzville, Missouri. The strike has since expanded to GM’s parts and distribution facilities nationwide and, as of last Friday, a crossover plant in mid-Michigan.
As a result of the strike in Missouri, GM also idled its Fairfax Assembly Plant in Kansas, where it builds the Cadillac XT4 SUV and the Chevrolet Malibu sedan, and laid off nearly 2,000 workers.
Both GM CEO Mary Barra as well as Ford Motor
CEO Jim Farley have publicly criticized UAW President Shawn Fain and the union’s strike strategy, claiming Fain is not actually interested in reaching deals for 146,000 workers with GM, Ford and Chrysler parent Stellantis
.
“It’s clear that there is no real intent to get to an agreement,” Barra said in an emailed statement Friday night. “It is clear Shawn Fain wants to make history for himself, but it can’t be to the detriment of our represented team members and the industry.”
Fain has consistently said the union is available to negotiate 24/7 and has in turn accused the automakers of slow-walking negotiations.
GM’s newly announced line of credit will require the automaker to maintain at least $4 billion in global liquidity and $2 billion in U.S. liquidity. The terms of the credit agreement also restrict GM from mergers or sales of assets and limits on other, new debt. As of June 30, GM’s total automotive liquidity was $38.9 billion.
The credit line comes more than a month after Ford obtained a $4 billion line of credit to help it manage through “uncertainties” in the market."
Michael Wayland,Ford pickup truck sales lead third-quarter growth,"In this article
DETROIT – Ford Motor’s
third-quarter U.S. new vehicle sales increased 7.7% compared with a year earlier, led by higher sales of traditional pickup trucks across its lineup.
The Detroit automaker on Wednesday reported a 15.3% increase in truck sales compared with a 5.1% decline in cars and sales of SUVs that were essentially flat.
Ford’s sales jump was in line with Edmunds’ expectations for the automaker but below auto analyst forecasts for the overall industry of an increase of 15% to 16% for the third quarter.
The automaker’s sales of electric vehicles were up by 14.8% during the quarter to nearly 21,000 units. A vast majority of those sales were the Mustang Mach-E crossover, as sales of the F-150 lightning electric pickup were off about 46% during the quarter due to slower-than-expected demand and downtime at the plant.
Ford’s EV sales represented only about 3% of the roughly 1.5 million vehicles sold by the automaker through the first nine months of the year, including 4.2% of sales during the third quarter.
Ford hybrid sales, led by the F-150 and Maverick hybrid trucks, posted third-quarter sales of 34,861 vehicles – up 41.4% over a year earlier.
An ongoing strike by the United Auto Workers union against the Detroit automakers, including Ford, was not expected to directly impact sales much during the quarter.
Next month could be more challenging due to the strikes, however, especially for vehicles such as the Ford Bronco SUV and Ranger midsize pickup – the first vehicles for the automaker to stop production due to the strikes, which began Sept. 15.
Only 25,200 workers, or roughly 17% of UAW members covered by the expired contracts with GM, Ford Motor and Stellantis, are part of the work stoppages.
The UAW has been gradually increasing the strikes since the work stoppages began, after the sides failed to reach tentative agreements by Sept 14. The targeted, or “stand up,” strikes are taking place instead of national walkouts in which all plants simultaneously strike.
National strikes affect the companies more quickly. The targeted walkouts aim to preserve the union’s funds and prolong the work stoppages to keep the automakers off keel."
Diana Olick,"Mortgage demand drops to the lowest level since 1996, as rates head toward 8%","Mortgage rates just continue to climb higher, taking a particularly big leap last week. As a result, total mortgage demand fell 6% compared with the previous week, according to the Mortgage Bankers Association’s seasonally adjusted index.
The average contract interest rate for 30-year fixed-rate mortgages with conforming loan balances ($726,200 or less) increased to 7.53% from 7.41%, with points rising to 0.80 from 0.71 (including the origination fee) for loans with a 20% down payment. That rate was 6.75% the same week one year ago.
“Mortgage rates continued to move higher last week as markets digested the recent upswing in Treasury yields,” said Joel Kan, MBA’s vice president and deputy chief economist. “As a result, mortgage applications ground to a halt, dropping to the lowest level since 1996.”
Applications to refinance a home loan dropped 7% for the week and were 11% lower than the same week one year ago. Refinances now make up less than one-third of all mortgage applications. Just two years ago, when rates were setting multiple record lows, refinance demand made up roughly three-quarters of all mortgage applications.
Applications for a mortgage to purchase a home fell 6% for the week and were 22% lower than the same week one year ago.
“The purchase market slowed to the lowest level of activity since 1995, as the rapid rise in rates pushed an increasing number of potential homebuyers out of the market,” said Kan, who also noted that adjustable-rate mortgage (ARM) applications increased. The ARMs made up 8% of purchase applications, up from 6.7% about a month ago, when interest rates were slightly lower. ARM’s offer lower rates but are fixed for a shorter term, usually five or 10 years.
A separate, daily survey on mortgage rates from Mortgage News Daily showed the average rate on the 30-year fixed rising even higher this week, hitting 7.72% on Tuesday. Investors are responding to better-than-expected economic data, which could push the Federal Reserve to be more aggressive in its higher interest rate policy."
Annika Kim Constantino,"Moderna combination Covid, flu vaccine enters final trial after positive data","In this article
Moderna
on Wednesday said its combination vaccine targeting Covid and the flu will move to a final stage trial in adults ages 50 and above this year after showing positive results in an early to mid-stage study.
The biotech company hopes its shot, mRNA-1083, can win approval from regulators in 2025. 
Moderna and other vaccine makers like Pfizer
believe combination vaccines will simplify what people can do to protect themselves against respiratory viruses that typically surge around the same time of the year.
“Combination vaccines offer an important opportunity to improve consumer and provider experience, increase compliance with public health recommendations, and deliver value for healthcare systems,” Moderna CEO Stéphane Bancel said in a statement. 
“We are excited to move combination respiratory vaccines into Phase 3 development and look forward to partnering with public health officials to address the significant seasonal threat posed to people by these viruses,” he added.
The mRNA-1083 shot generated an immune response similar to or greater than two currently available flu vaccines from GlaxoSmithKline
in the early to mid-stage clinical trial. 
Moderna’s combination shot also produced an immune response similar to its bivalent Covid vaccine, which targets the omicron variants BA.4 and BA.5 and the original strain of the virus. 
The trial evaluated the combination shot in two different age groups: people 50 to 64 years of age and participants 65 to 79. 
The safety data of mRNA-1083 was similar to that of the stand-alone Covid shot, according to Moderna. No new safety concerns were identified with the combination vaccine. 
Moderna is also developing a combination shot targeting the flu and RSV, and another vaccine targeting all three respiratory viruses: Covid, flu and RSV. 
Meanwhile, Pfizer and BioNTech
also are developing a vaccine that targets both Covid and the flu. The companies started a phase one trial for the shot in November and said they expect to launch it in 2024 or later."
