Author,Title,Content
Melina Khan,"UPS to hire 100,000 holiday workers with Teamsters pay bump","In this article
UPS
plans to hire more than 100,000 seasonal workers again this year to support the holiday shipping rush, the company announced Tuesday in a press release. This year, though, they’ll be starting with a higher pay.
As a result of a contract agreement with the Teamsters union that was ratified in August, seasonal workers’ pay will start between $21 and $23 per hour, depending on the position. 
The Teamsters deal with UPS comes as workers from pilots to aerospace manufacturing employees have pushed for and won higher pay.
Package handlers and driver helpers will make $21 per hour, while delivery and tractor-trailer drivers will make $23 per hour during the holiday season, a UPS spokesperson said. Last year, package handlers’ starting pay was $15.50 per hour and delivery drivers made a minimum of $21 per hour.
The company said it is hiring both full- and part-time positions, primarily drivers and package handlers. Some permanent positions are also available. 
“We’re proud to offer industry-leading pay for UPS part-timers, full-timers and seasonal employees alike,” Nando Cesarone, UPS’ executive vice president, said in the release. “We’re looking forward to delivering yet another leading on-time performance this holiday season and helping thousands of workers kick off their UPS careers in the process.”
Nearly 80% of the company’s seasonal positions do not require an interview, UPS said in the release.
The carrier hired the same number of seasonal workers in 2022."
Lillian Rizzo,"Professional Pickleball, Tennis Channel deepen media partnership","Professional Pickleball is getting a dedicated home: The Tennis Channel.
The PPA Tour and Tennis Channel announced on Tuesday they are teaming up via a joint venture in a push to further grow and popularize the sport that has been picking up steam in the U.S.
As part of the partnership, Tennis Channel will produce all PPA Tour events and have the rights to broadcast a vast majority of them on its pay-TV network and streaming platforms.
“It’s going to create so much more access for people,” PPA Tour owner Tom Dundon told CNBC. “I think this makes it way easier to bring to the masses.”
The pair will also create pickleballtv, a 24/7 standalone free, ad-supported streaming channel featuring matches as well as entertainment surrounding the sport.
For the PPA Tour, the joint venture will allow Tennis Channel to take the reigns on producing all of its content both for its own platforms as well as the Tour’s other media partners, including Disney
’s ESPN, Paramount
’s CBS and Prime Video.
“A lot of emerging sports sometimes have trouble with production, quality and consistency,” said Dundon. “So when we deliver a program to Fox or ESPN, they know it’s perfect. It makes it a lot easier for them to want to carry us and cover us.”
While terms of the deal weren’t disclosed, the agreement allows Tennis Channel owner Sinclair
to retain the option of an equity stake in Pickleball.com, the parent company of the PPA Tour. Dundon added it’s a 50-50 partnership between the two entities, noting the PPA Tour will put the capital in and Tennis Channel will bring its production and media expertise.
Read more: Pickleball is loud. The people behind it say they’re trying to fix it.
“If you look at what Apple did with [Major League Soccer], the MLS does all of the production. So I think we’re just consistent with where the [media] world’s going where we can produce it cheaper, with scale,” Dundon said.
He foresees the joint venture propelling further media rights deals with the help of Tennis Channel executives that are familiar with TV carriage negotiations and building up streaming platforms.
“This partnership is really the seminal moment for what is still in many ways the nation’s sport...And we get to take 20 years of right decisions and mistakes and apply them directly to expand pickleball and the PPA,” Ken Solomon, Tennis Channel president, told CNBC.
Tennis Channel will have the rights to show most PPA Tour matches, and those that air live on other media networks will be shown on a same-day delay and will be available on-demand on Tennis Channel platforms.
Pickleball is not new to the 20-year-old Tennis Channel. The network first aired a PPA Tour event in 2021 and expanded its coverage of pickleball in 2022.
Solomon said pickleball ratings have been strong to date. There are 25 PPA Tour events on the 2023 calendar. The network already produces events for the PPA Tour, Dundon added.
The joint venture will also allow Tennis Channel to use its marketing and advertising prowess to sell pickleball to sponsors and advertisers by combining their offerings.
Solomon said for traditional tennis fans, they don’t have to worry about the paddle sport taking over the bread and butter of their network. The network will not air pickleball in time periods where they have rights to live tennis.
“These things, [tennis and pickleball], go together beautifully. It’s like peas and carrots,” he said.
Solomon said the Tennis Channel is currently looking at broadcast enhancements through cameras, the use of artificial intelligence, and a jib shot at the net that will allow the audience to see the tension of patience versus pulling the trigger with a slam or drive.
It’s been a busy few months for professional pickleball. The PPA Tour, which is a tour-style format pitting the best players in the world against each other, and Major League Pickleball, which features team play, announced earlier this month they are merging. This followed a dramatic few weeks of uncertainty surrounding the future of the professional sport as the leagues engaged in a spending war to compete against each other.
In the last few years, pickleball has seen unprecedented growth as professionals and amateurs turn to the sport in droves. According to the annual Sports & Fitness Industry Association Topline Report, pickleball has seen 159% growth over the past three years. Last year, 36 million people played the sport, leading to the growth of both public and private courts all over the country.
The sport has also attracted big name players like Bill Gates and the Kardashians to celebrity owners like LeBron James, Patrick Mahomes and Kevin Durant."
Michael Sheetz,Bezos’ Blue Origin to replace CEO Bob Smith with outgoing Amazon exec Dave Limp,"In this article
Jeff Bezos’ Blue Origin will replace CEO Bob Smith with outgoing Amazon
executive Dave Limp, CNBC has learned.
Smith is retiring effective Dec. 4 and will remain with the company until Jan. 2 for the CEO transition, according to notes to Blue Origin staff written by Smith and Bezos that were obtained by CNBC.
Limp joins Blue Origin at a key phase of the company’s multiple space projects. Blue needs to ramp production of its BE-4 rocket engines, return its space tourism rocket New Shepard to flight, and launch its next-generation New Glenn rocket for the first time – as well as deliver on a recently-won NASA contract for a crewed lunar lander.
Sign up here to receive weekly editions of CNBC’s Investing in Space newsletter.
In a statement to CNBC, a Blue Origin spokesperson praised Limp as “a proven innovator with a customer-first mindset” who has “extensive experience in the high-tech industry and growing highly complex organizations.”
Amazon announced last month that Limp would be stepping down later this year. As Amazon’s devices and services chief, Limp oversaw Amazon’s Alexa, Echo and Ring units, as well as some of its more experimental divisions like Zoox autonomous vehicles, and the Project Kuiper internet satellite business.
Limp’s resignation came as a shock, as he spent more than 13 years at Amazon. He became a top lieutenant of CEO Andy Jassy and a member of Amazon’s vaunted S-Team, a tight-knit group of senior executives across almost all of its businesses.
Additionally, Limp and Bezos worked closely together when the Amazon founder was still CEO. Amazon’s Alexa voice assistant and Echo smart speakers were pet projects of Bezos’, and Limp steered both of the high-profile launches.
Amazon has not announced a replacement for Limp yet, but Bloomberg and other outlets have reported that the company is expected to hire Microsoft product chief Panos Panay.
Smith took the reins at Blue Origin in 2017 after 13 years at aerospace conglomerate Honeywell, with Bezos annually spending billions to transform his space venture into a sector powerhouse.
Under Smith’s leadership, Blue Origin heavily built up infrastructure across the U.S. – adding a key rocket engine manufacturing and testing site in Alabama, expanding its rocket production and launch facilities in Florida, and opening locations in California, Arizona, and Colorado.
The most high-profile success during Smith’s tenure came in July 2021, when Bezos flew with the first crew of Blue Origin’s New Shepard rocket to the edge of space and back.
But delays and setbacks marred each of Blue Origin’s major programs under Smith. Both its marquee New Glenn rocket and BE-4 engines – the latter of which is also needed for fellow rocket company United Launch Alliance’s Vulcan vehicle – are years behind schedule. It lost out on a lucrative round of Pentagon launch contracts in 2020, and needs to fly New Glenn to show the U.S. Space Force is can be awarded military missions in the upcoming round of awards.
Earlier this year Blue Origin won a $3.4 billion NASA contract to build a lunar lander for the agency’s astronauts. But the competition was a second-chance contest that NASA organized after Elon Musk’s SpaceX was the sole winner of the first lander contract in 2021 – an award decision that Blue Origin took to federal court and lost.
Those schedule slips were compounded by allegations from current and former employees that the company had a toxic and sexist workplace. Smith addressed those claims by saying Blue Origin had “no tolerance for discrimination or harassment of any kind,” but the company suffered from an elevated turnover rate in 2021. However, Blue Origin has since hired aggressively. Bezos on Monday noting noted the company had grown to more than 10,000 employees, from around 4,000 about two years prior.
Read Bezos’ message to Blue Origin employees on Monday:
I’m excited to share that Dave Limp will join Blue starting December 4th as CEO, replacing Bob, who has elected to step aside on January 2. The overlap is purposeful to ensure a smooth transition.
Before I provide some background on Dave, I’d like to take the time to recognize Bob and the significant growth and transformation we’ve experienced during his tenure. Under Bob’s leadership, Blue has grown to several billion dollars in sales orders, with a substantial backlog for our vehicles and engines. Our team has increased from 850 people when Bob joined to more than 10,000 today. We’ve expanded from one office in Kent to building a launch pad at LC-36 and five million square feet of facilities across seven states.
Our mission has grown too – we’ve flown 31 people above the Kármán Line, almost five percent of all the people who have been to space. Flight-qualified BE-4 engines are ready to boost Vulcan into orbit. New Glenn is nearing launch next year, and, with our recent NASA contract, we will land Americans back on the Moon, this time to stay. We have also engaged and inspired millions of children and educators through our Club for the Future efforts. We’ve made tremendous progress in building a road to space for the benefit of Earth, thanks to each of you and Bob’s leadership.
I’ve worked closely with Dave for many years. He is the right leader at the right time for Blue. Dave joins us after almost 14 years at Amazon, where he most recently served as senior vice president of Amazon Devices and Services, leading Kuiper, Kindle, Alexa, Zoox, and many other businesses. Before Amazon, Dave had roles at other high-tech companies, including Palm and Apple. Dave is a proven innovator with a customer-first mindset and extensive experience leading and scaling large, complex organizations. Dave has an outstanding sense of urgency, brings energy to everything, and helps teams move very fast.
Please join me in welcoming Dave and thanking Bob. Through this transition, I know we’ll remain focused on our customer commitments, production schedules, and executing with speed and operational excellence. I look forward to the many exciting and historic milestones ahead of us!
Jeff
Read Smith’s message to Blue Origin employees:
Team Blue,
It’s been about six years since I joined Blue Origin. During that time, our team, facilities, and sales orders have grown dramatically, and we’ve made significant contributions to the history of spaceflight.
With pride and satisfaction in all that we’ve accomplished, I’m announcing that effective December 4, I will be stepping aside as Chief Executive Officer of Blue Origin. I will remain with Blue until January 2 to ensure a smooth transition with the new CEO.
It has been my privilege to be part of this great team, and I am confident that Blue Origin’s greatest achievements are still ahead of us. We’ve rapidly scaled this company from its prototyping and research roots to a large, prominent space business. We have the right strategy. a supremely talented team, a robust customer base, and some of the most technically ambitious and exciting projects in the entire industry. We also have a team that cares deeply about its mission, legacy, and how we contribute to the next generation and bring everyone into a brighter future.
Jeff and I have been discussing my plan for months, and Jeff will announce Blue’s new CEO in a separate note shortly. I’m very excited about the operational excellence and culture of innovation this new leader will bring to Blue. building on the foundation we’ve created over the past few years.
I’m committed to ensuring this transition is flawless, and everyone should know that Ill always be on Team Blue.
Gradatim Ferociter.
Bob Smith
Correction: An earlier version of this story mischaracterized Dave Limp’s status at Amazon."
Drew Richardson,"Movie theater shares pop after writers, studios reach tentative labor deal","In this article
Movie theater shares popped Monday following news of a tentative labor deal between the Writers Guild of America and the Alliance of Motion Picture and Television Producers.
“The world’s movie theatres can celebrate. Extremely good news that progress is being made,” AMC
CEO Adam Aron said Sunday in a post on X, the site formerly known as Twitter.
Shares of AMC were up roughly 7% Monday. The notoriously volatile stock reached as high as $8.50 a share.
Shares of Cinemark
and IMAX
followed behind, up 2.7% and 1.5%, respectively.
Shares of studio owners, meanwhile, were largely down. Disney
and Comcast
shares were fractionally lower Monday, while Warner Bros. Discovery
fell nearly 4%.
While a potential end to the writers’ strike represents positive momentum for Hollywood, union members still need to ratify the deal and even then, it’s still only half the battle.
The Screen Actors Guild – American Federation of Television and Radio Artists is still on strike after failure to reach a labor agreement with AMPTP.
An eventual deal between SAG-AFTRA and AMPTP is crucial for the well-being of movie theater companies going forward especially as key films such as Warner Bros.
and Legendary Entertainment’s “Dune: Part Two” as well as Sony’s
“Kraven the Hunter” and the sequel to “Ghostbusters: Afterlife” were pushed to 2024 because of the strikes.
Industry experts fear that more films will be forced to move along the calendar if studios cannot solidify contracts with the two guilds this year. Additionally, some films set for 2024 had filming interrupted because of the strikes and will need to restart production sooner rather than later to hit their opening dates.
Still, movie theaters have experienced solid box-office returns this year. The summer season saw a 19% year-over-year increase, due in large part to the success of “Barbie” and “Oppenheimer.”
“We would need to see movement on negotiations with SAG-AFTRA to have complete comfort over the near-term slate,” said Eric Wold, an analyst at B. Riley Securities, in a research note published Monday. “However, should the WGA agreement be ratified by its members, it would allow for writing to restart on upcoming productions to prepare for the point when actors can become involved once again.”
SAG-AFTRA released a statement congratulating the WGA for reaching a deal Sunday while also calling for the AMPTP to return to the negotiating table on its own agreements.
Despite ongoing turmoil in the media industry, the lengthy writers’ strikes have presented a unique opportunity for streaming companies such as Netflix and their libraries of content. Shares of Netflix gained roughly 1% Monday.
Disclosure: Comcast is the parent company of NBCUniversal and CNBC. NBCUniversal is a member of the AMPTP.
— CNBC’s Sarah Whitten contributed to this report."
Annika Kim Constantino,"Merck Covid drug linked to virus mutations that can spread between people, study says","In this article
A new study released Monday said Merck
’s widely used antiviral Covid pill can cause mutations in the virus that occasionally spread to other people, raising questions about whether the drug has the potential to accelerate Covid’s evolution. 
The findings may increase scrutiny about the usefulness of the treatment, molnupiravir, which was one of the first Covid drugs available to doctors worldwide during the pandemic.
Molnupiravir works by causing mutations in Covid’s genetic information, which weakens or destroys the virus and reduces the amount of Covid in the body. However, the study published Monday in the scientific journal Nature found that Covid can sometimes survive treatment with molnupiravir, leading to mutated versions of the virus that have been found to spread to other patients. 
Researchers in the U.S. and U.K. specifically analyzed 15 million Covid genomes to see which mutations had occurred and when. They found that mutations increased in 2022 after molnupiravir was introduced in many countries. 
There is no evidence that molnupiravir, sold under the brand name Lagevrio, has produced more transmissible or severe variants of Covid, according to the study. 
But the findings are important for regulators who continue to assess the risks and benefits of molnupiravir, wrote Theo Sanderson, the lead author of the study and a researcher at the Francis Crick Institute in London, in a post on X, formerly Twitter.
A spokesperson for Merck pushed back on the new study, claiming the researchers assumed that the mutations they analyzed were associated with molnupiravir-treated patients “without documented evidence of that transmission.”
“Instead, the authors rely on circumstantial associations between the region from which the sequence was identified and timeframe of sequence collection in countries where molnupiravir is available to draw their conclusion,” the spokesperson said.
The spokesperson added that genomes with the mutations were “uncommon and were associated with sporadic cases.” 
The company in February also disputed an earlier study by the same team of researchers, which suggested that molnupiravir is giving rise to new mutations of the virus in some patients. Based on data at the time, a spokesperson for Merck said it didn’t believe molnupiravir was likely to contribute to Covid mutations.
The new study comes as Covid once again gains a stronger foothold in the U.S., primarily driven by newer strains of the virus.
But the U.S. and other countries appear to be relying less on molnupiravir to fend off Covid this year: Sales of the drug dropped to around $200 million during Merck’s third quarter, down 83% from the more than $1 billion reported during the same period a year ago. 
Merck’s molnupiravir has long been controversial because of its ability to cause genetic mutations. 
The U.S. Food and Drug Administration first approved the drug for emergency use in late 2021. But the FDA recommends against using Lagevrio during pregnancy because non-clinical studies suggest that it may cause fetal harm.
Molnupiravir also isn’t authorized for use in patients under 18 because it may affect bone and cartilage growth."
Michael Sheetz,Sierra Space raises nearly $300 million at over $5 billion valuation,"Sierra Space, the subsidiary of private aerospace contractor Sierra Nevada Corporation, raised new funds at a $5.3 billion valuation, the company announced on Tuesday.
Sierra Space’s equity raise of $290 million was led by Japanese investors MUFG, Kanematsu and Tokio Marine, with significant participation from prior investors and insiders. Citigroup advised on the deal.
“Sierra Space is excited to create a long-term strategic relationship with our Japanese investors and industry partners,” CEO Tom Vice said in a statement.
CNBC previously reported the fundraise.
MUFG is the largest bank in Japan, and Sierra noted the trio of investors are already working with the country’s space agency to study the market opportunity in low Earth orbit – where the International Space Station operates currently.
“MUFG has decided to invest in Low Earth Orbit to support commercialization, the creation of new industries, and the resolution of social issues,” MUFG Bank President and CEO Junichi Hanzawa said in a statement.
Two years ago, Sierra Space raised $1.4 billion at a $4.5 billion valuation from investors including General Atlantic, BlackRock, AE Industrial Partners, Coatue and Moore Strategic Ventures.
The fresh funds come as Sierra Space focuses on getting its Dream Chaser spaceplane flying.
Sign up here to receive weekly editions of CNBC’s Investing in Space newsletter.
Dream Chaser has been in development for years with a goal to deliver cargo and eventually crew to low Earth orbit as a reusable vehicle. It resembles a miniaturized NASA Space Shuttle in appearance and is built to launch atop a traditional rocket and land on a runway like an airplane.
The first Dream Chaser launch was previously scheduled for late last year, but delays in the development of United Launch Alliance’s Vulcan rocket pushed back that timeline. Dream Chaser is planned to launch on ULA’s second Vulcan mission, with the first Vulcan launch targeting the fourth quarter of this year.
Sierra Space is also one of several companies working on a private space station. It plans to launch a “pathfinder” demonstration mission of its LIFE (Large Integrated Flexible Environment) habitat in 2026."
Jessica Golden,Pickleball is loud. The people behind the sport say they’re trying to fix it,"America’s fastest-growing sport is looking to be … quieter?
The governing body of the sport, USA Pickleball, announced on Monday a new initiative to get pickleball to pipe down by investing in changes to the acoustics of the sport. The organization will work with manufacturers and facilities to come up with solutions that will allow the sport to continue its rapid growth.
Pickleball is a paddle sport that combines the elements of tennis, ping pong and badminton. It’s played with a plastic ball with holes in it that resembles a wiffle ball. While the sport was created in the 1960s, it recently gained steam during the Covid-19 pandemic, as people looked for ways to get exercise outdoors and also be social.
As a result, courts are popping up all across the country, including even in people’s backyards and neighborhoods. USA Pickleball says 130 new locations were added per month in 2022 and estimates another 25,000 courts will need to be built to keep up with demand. Last year, 36 million people played pickleball and the sport has grown 158% over the past three years according to the Sports & Fitness Industry Association.
Yet not everyone has caught pickleball fever.
Read more: Professional Pickleball, Tennis Channel deepen media partnership
The pop-pop-pop sound that the sport produces with its rapid-fire paddle play has led to neighborhood quarrels, lawsuits and 911 calls. The cacophonous controversy has even prompted the closure of some courts.
“It’s a torture technique,” one pickleball antagonist told The New York Times in June.
In the 70 decibel range, sound experts say it’s not a dangerous amount of noise but it’s about twice as loud as tennis.
USA Pickleball is looking to quiet the commotion — and cultivate good will — by announcing a new “quiet category” for pickleball equipment.
“With the sport’s growth, addressing noise concerns is essential to maintain a positive relationship between residential communities and facility operators,” USA Pickleball CEO Mike Nealy said in a statement. “By working together with manufacturers and the entire industry, we can develop quieter options that benefit everyone.”
The small northern New Jersey town of Haworth experienced a pickleball explosion among its residents during the Covid-19 pandemic. Today, in an attempt to keep the peace amid noise complaints, the town decided to move its pickleball courts.
“Residents showed up at council meetings expressing the noise issue,” said Kari Heitzner, co-chair of the town’s pickleball club. “Because it’s such a popular sport with people wanting to play at all hours of the day, we ultimately decided to move the courts to an area surrounded by woods.”
The USA Pickleball initiative aims to help municipalities and homeowners associations seek support navigating the noise and to provide them with remote and on-site evaluations.
It’s also helping to promote products that deliver essentially 50% or less of the acoustic footprint.
The organization said it has spent the past 15 months researching and studying the acoustic output of the sport, including by working with acoustic experts.
“I would say that it’s probably less than 1% [of people complaining about the noise], but it is a very vocal 1% that do have issues with it. So we do feel the need to address it and make sure that there are solutions,” Carl Schmits, USA Pickleball managing director of equipment standards and facilities development, said in an interview.
The goal is to work with manufacturers during development to prioritize innovation in creating quieter products, in addition to providing resources to municipalities.
Schmits says the organization has tested hundreds of paddles and worked with suppliers on dampening the noise through acoustic fabrics and panels.
Bob Unetich, sound engineer and pickleball player, has been studying this problem for the past eight years.
Unetich, who consults for USA Pickleball, started a company called Pickleball Sound Mitigation to help communities with this growing problem.
He said pickleball paddles vibrate at a high pitch of 1,000 times per second, which is what leads to the pop noise. Humans are sensitive to pop sounds and often annoyed by them, he added.
“I appreciate the problem and frankly wouldn’t want to live next door to numbers like 70 decibels over and over and over every four seconds for eight hours a day,” Unetich said. “And I’m sure you wouldn’t either.”"
Annika Kim Constantino,Pfizer restarts production at tornado-hit North Carolina plant,"In this article
Pfizer
on Monday said it has restarted most production lines at a drug manufacturing plant that was severely damaged by a tornado two months ago, but added that some medicines from the facility may be in short supply until at least mid 2024.
In a statement, Pfizer stressed that it has only made the “first step toward full recovery” of its plant in Rocky Mount, North Carolina. The company expects the facility’s operations to fully resume by the end of the year.
The Rocky Mount plant supplies nearly 8% of all sterile injectable medicines used in U.S. hospitals, including anesthesia, analgesia, therapeutics, anti-infectives and neuromuscular blockers. The facility also manufactures about 25% of the company’s drugs in that category. 
Pfizer in August warned hospitals that some medicines could see supply disruptions. 
One injection from the plant was in short supply as of late last month, according to a database from the American Society of Health-System Pharmacists. It was a type of sodium chloride injection, which is used to replenish water and salt lost as a result of certain conditions. 
Pfizer on Monday said it has restarted production of about 13 medicines, which were prioritized based on “patient need and inventory levels.” The company did not specify which drugs those are.
Pfizer said it is also continuing to monitor emergency request orders for certain medicines manufactured at the Rocky Mount plant. The company implemented the emergency ordering process in August to manage the distribution of 12 drugs “in high medical need.”
Pfizer’s announcement comes as the U.S. is already facing an unprecedented shortage of medicine, ranging from ADHD pills to pain medicine to injectable cancer therapies. Those shortages are driven by manufacturing quality control issues and surges in demand, among other factors."
Robert Frank,"A tour inside Manhattan’s newest private club, with $100,000 membership fees","A battle between elite membership clubs is about to reach a whole new level, as Core Club’s new 60,000-square-foot megaclub prepares to open in Manhattan next month.
The new Core space, spread over four floors above Midtown, is the latest in a wave of elite membership clubs that have opened in major cities since the pandemic. From Casa Cipriani and Zero Bond in New York, to the Aster and Heimat in Los Angeles and ZZ’s Club in Miami, the clubs have redefined the old-world membership clubs and created safe spaces for today’s privacy-minded, highly mobile wealthy.
More than a dozen new clubs have opened or announced plans to open in Manhattan since 2020. Some, like Aman, are offshoots of hotel brands. Others, like ZZ’s and Casa Cipriani, leverage the cult-like fan base of their restaurants. Many are geographic expansions of existing hotspots, like LA’s famed San Vicente Bungalows opening in New York.
The club boom has created an arms race of amenities, with clubs vying to outdo each other with dining spaces, celebrity chefs, wellness spas, gyms, bars, pools, nightclubs, plush hotel suites and high-tech board rooms. ZZ’s Club, owned by Major Food Group and scheduled to open in Hudson Yards this fall, will boast multiple restaurants and a “culinary concierge” — a team of chefs able to whip up any dish that it’s members request.
“No one’s ever done this before,” said Jeff Zalaznick, managing partner for Major Food Group. “We’ve got so much talent in this kitchen. If you want your mother’s meatloaf in two days, we can make it. You want fried chicken, we can make it and probably make a great version.”
The price for access is soaring: the Aman Club in Manhattan, part of Aman New York’s new 83-suite hotel, charges $200,000 for membership along with $15,000 a year in annual dues. Core’s memberships range from $15,000 for an individual membership to $100,000 for a family membership, along with annual dues of $15,000 to $18,000 a year.
With more clubs scheduled to open in the fourth quarter and beginning of next year, some members worry that New York and other big cities are becoming over-saturated with club offerings, especially if the economy plunges into recession.
Club owners and managers say they see no slowdown in demand, as the wealthy seek communities and private spaces where they can work, play, stay and network in a secure and exclusive space.
Industry watchers say the U.S. may be moving toward the London model of social clubs, where storied institutions like Annabel’s, 5 Hertford Street and White’s play a central role in the social and professional lives of the upper crust. Soho House, founded in London in 1995 by restauranteur Nick Jones, has expanded to become the global goliath of the private club world, with dozens of locations around the world and a publicly traded stock.
Core Club’s founder and CEO, Jennie Enterprise, said that after the pandemic, the wealthy value privacy and a sense of community more than ever.
“I think the proliferation of private clubs is a reflection of an exceptional business model,” she said. “The annuity subscription-based business model in any industry is attractive. The activity in the space certainly reflects a desire for curated communities and experiences. And probably with a dynamic of social media, and a lack of privacy, I think that discretion and private communities are probably something that is more aligned with the culture of the moment.”
Club owners say members often join multiple clubs, since each has its own focus and atmosphere. Zero Bond, founded by nightclub impresario Scott Sartiano, has more of a nightclub vibe and has hosted Kim Kardashian, Pete Davidson and Gigi Hadid. Aman has the hushed (some say eerily quiet) feel of a zen resort, while Casa Cipriani features the flashy, people-watching theater of Cipriani’s storied New York eateries.
Zalaznick said his affluent clientele is “spending more than ever” at ZZ’s Club in Miami and the company’s high-end restaurants, which bodes well for the forthcoming ZZ’s Club New York.
“The things that bring people back are great food, great service, great experiences, great connections and the staff’s ability to cater to people’s needs or desires,” he said. “That’s our focus, and that’s what will give us longevity in the club space.”
Core gave CNBC an exclusive first tour of its new club at 711 Fifth Avenue, scheduled to open in mid-October. The group opened its first space in 2005 at a nearby location on 55th street and became the most successful of the new breed of modern, business-oriented membership clubs. In need of more space and a fresh look, Core leased four floors on the top of the former Coca-Cola building and spent two years and tens of millions of dollars building the ideal layout.
Spanning the 15th through 18th floors, Core has over 6,000 square feet of outdoor terrace space with views of Central Park and the glass towers of Midtown.
The 15th floor houses 11 luxury hotel suites, which are between 500 and 750 square feet apiece. Priced at around $1,500 per night, the rooms will be available for guests or their family members. The same floor also houses a spa with treatment rooms and a salon.
The 16th floor is home to the gym, juice bar and the Dangene Institute, which features the latest in anti-aging skincare technology.
On the 17th floor, members will find a speakeasy-style lounge, which includes a stylish bar, blue velvet couches and a glass wine and champagne vault, called the wine library. Another set of glass doors leads to the culinary lab, a U-shaped table where celebrity chefs from around the world will serve up special dishes for members.
The 18th floor houses the more formal dining area, which will serve mostly Mediterranean fare during the day and a more seasonal, varied menu at night. Core’s culinary program is headed by Chef Michele Brogioni, the celebrated former executive chef at Giorgio Armani. The club’s bread and pastries (including what is arguably New York’s best lemon cake) is overseen by head pastry chef Mauro Pompili.
The 18th floor also houses state-of-the art conference and board rooms, a screening room and a flexible events space and gallery that can be used for exhibits, parties and big gatherings.
Along with the Manhattan club, Core has new locations in Milan and San Francisco and has plans for several others in the coming years, Enterprise said.
Yet Core’s main draw, she said, isn’t the spaces or the amenities, but the community and well-spring of ideas. Core produces between 150 and 200 cultural events a year, from performances, exhibits and talks, to tastings, interviews and showcases.
“We’re ideas-led, not amenities-led,” Enterprise said. “Clearly we have beautiful, world-class amenities. But what defines us is the quality of our ideas. We curate a community of relentlessly curious and unlike-minded people from across the spectrum. So people can intersect with other people from media sports, fashion, finance, science, technology, design and beyond. Our commitment to cultural programming reflects a desire for our members to endlessly cultivate themselves.”
While Core never discloses the names of any of its members, some cited in past media reports include Blackstone CEO Stephen Schwarzman, NFL Commissioner Roger Goodell, fashion designer Tory Burch, Vornado CEO Steven Roth and Estee Lauder Executive Chairman William Lauder.
Since the new location is nearly twice the size as its prior outpost and can accommodate more members, Core is accepting and starting to review new applications.
“We are getting a lot of applications,” Enterprise said. “There is no single requirement. We look for interesting, curious people who will add to the community.”"
Sarah Whitten,Hollywood writers reach tentative deal with studios to end strike,"In this article
Hollywood’s writers and studios have a preliminary labor agreement.
Talks between the Writers Guild of America and the Alliance of Motion Picture and Television Producers resumed last week after months of starts and stops, ultimately leading to a tentative deal that would end the ongoing writers strike.
The WGA and AMPTP are still drafting the final contract language.
“What we have won in this contract — most particularly, everything we have gained since May 2nd — is due to the willingness of this membership to exercise its power, to demonstrate its solidarity, to walk side-by-side, to endure the pain and uncertainty of the past 146 days,” the WGA negotiation committee wrote in a letter to members Sunday night. “It is the leverage generated by your strike, in concert with the extraordinary support of our union siblings, that finally brought the companies back to the table to make a deal.”
Hollywood scribes initiated a work stoppage in early May as negotiations broke down with studios including Disney
, Paramount
, Universal
and Warner Bros. Discovery
. Television and film writers sought protections against the use of artificial intelligence, in addition to increases in compensation for streamed content.
The WGA did not disclose what provisions ultimately made it into the preliminary contract, but told union members that “this deal is exceptional — with meaningful gains and protections for writers in every sector of the membership.”
Once the WGA and AMPTP agree on the language within the contract, the negotiating committee will vote on whether to recommend the agreement and send it to the Writers Guild of America West Board and the Writers Guild of America East Council for approval. Then, the board and council will vote on whether to authorize a contract ratification vote by membership.
WGA leadership noted that the strike is not over and no members of the guild are to return to work until the agreement is officially ratified. Members were encouraged to continue standing in solidarity with striking actors on the picket lines.
President Joe Biden, who often touts his pro-union stances, cheered the agreement as he prepares to head to a United Auto Workers’ picket line Tuesday in Michigan.
“This agreement, including assurances related to artificial intelligence, did not come easily,” Biden said in a statement released by the White House on Monday. “But its formation is a testament to the power of collective bargaining. There simply is no substitute for employers and employees coming together to negotiate in good faith toward an agreement that makes a business stronger and secures the pay, benefits, and dignity that workers deserve.”
Following negotiations with writers, the AMPTP will need to turn its attention to SAG-AFTRA. The acting guild’s members have been on strike since mid-July and are seeking contract updates similar to those requested by the writers.
Hollywood performers are looking to improve wages, working conditions, and health and pension benefits, as well as establish guardrails for the use of AI in future television and film productions. Additionally, the union is seeking more transparency from streaming services about viewership so that residual payments can be made equitable to linear TV.
“SAG-AFTRA congratulates the WGA on reaching a tentative agreement with the AMPTP after 146 days of incredible strength, resiliency and solidarity on the picket lines,” the Screen Actors Guild-American Federation of Television and Radio Artists wrote in a statement Sunday. “While we look forward to reviewing the WGA and AMPTP’s tentative agreement, we remain committed to achieving the necessary terms for our members.”
Disclosure: Comcast is the parent company of NBCUniversal and CNBC. NBCUniversal is a member of the Alliance of Motion Picture and Television Producers.
–CNBC’s Emma Kinery contributed to this article."
